id,artist,song,topic
kanye west+niggas in paris,kanye west,niggas in paris,1
kid cudi+sad people,kid cudi,sad people,1
kanye west+real friends,kanye west,real friends,3
dj snake+loco contigo (feat. j. balvin & tyga),dj snake,loco contigo (feat. j. balvin & tyga),4
anuel aa+china,anuel aa,china,4
ariana grande+boyfriend (with social house),ariana grande,boyfriend (with social house),3
ed sheeran+beautiful people (feat. khalid),ed sheeran,beautiful people (feat. khalid),0
post malone+goodbyes (feat. young thug),post malone,goodbyes (feat. young thug),1
ed sheeran+i don't care (with justin bieber),ed sheeran,i don't care (with justin bieber),1
lil tecca+ransom,lil tecca,ransom,1
sam smith+how do you sleep?,sam smith,how do you sleep?,3
billie eilish+bad guy,billie eilish,bad guy,1
bad bunny+callaita,bad bunny,callaita,4
lewis capaldi+someone you loved,lewis capaldi,someone you loved,1
sech+otro trago - remix,sech,otro trago - remix,4
drake+money in the grave (drake ft. rick ross),drake,money in the grave (drake ft. rick ross),0
chris brown+no guidance (feat. drake),chris brown,no guidance (feat. drake),1
y2k+lalala,y2k,lalala,2
lizzo+truth hurts,lizzo,truth hurts,2
jhay cortez+no me conoce - remix,jhay cortez,no me conoce - remix,4
lunay+soltera - remix,lunay,soltera - remix,4
billie eilish+bad guy (with justin bieber),billie eilish,bad guy (with justin bieber),1
shawn mendes+if i can't have you,shawn mendes,if i can't have you,0
tones and i+dance monkey,tones and i,dance monkey,0
ali gatie+it's you,ali gatie,it's you,1
j balvin+que pretendes,j balvin,que pretendes,4
the chainsmokers+takeaway,the chainsmokers,takeaway,1
young thug+the london (feat. j. cole & travis scott),young thug,the london (feat. j. cole & travis scott),1
katy perry+never really over,katy perry,never really over,1
martin garrix+summer days (feat. macklemore & patrick stump of fall out boy),martin garrix,summer days (feat. macklemore & patrick stump of fall out boy),1
sech+otro trago,sech,otro trago,4
ed sheeran+antisocial (with travis scott),ed sheeran,antisocial (with travis scott),1
jonas brothers+sucker,jonas brothers,sucker,1
kygo+higher love,kygo,higher love,1
taylor swift+you need to calm down,taylor swift,you need to calm down,1
khalid+talk,khalid,talk,0
marshmello+one thing right,marshmello,one thing right,1
the chainsmokers+call you mine,the chainsmokers,call you mine,1
ed sheeran+cross me (feat. chance the rapper & pnb rock),ed sheeran,cross me (feat. chance the rapper & pnb rock),1
childish gambino+this is america,childish gambino,this is america,0
chris cornell+when bad does good,chris cornell,when bad does good,0
high on fire+electric messiah,high on fire,electric messiah,1
st vincent+masseduction,st vincent,masseduction,4
ella mai+boo'd up,ella mai,boo'd up,1
anderson paak+bubblin,anderson paak,bubblin,1
drake+god's plan,drake,god's plan,1
kacey musgraves+butterflies,kacey musgraves,butterflies,2
dan   shay+tequila,dan   shay,tequila,0
kacey musgraves+space cowboy,kacey musgraves,space cowboy,3
brandi carlile+the joke,brandi carlile,the joke,2
bruno mars+24k magic,bruno mars,24k magic,2
bruno mars+that's what i like,bruno mars,that's what i like,1
ed sheeran+shape of you,ed sheeran,shape of you,3
portugal the man+feel it still,portugal the man,feel it still,1
lcd soundsystem+tonite,lcd soundsystem,tonite,0
leonard cohen+you want it darker,leonard cohen,you want it darker,4
mastodon+sultan’s curse,mastodon,sultan’s curse,2
childish gambino+redbone,childish gambino,redbone,1
kendrick lamar+humble.,kendrick lamar,humble.,0
chris stapleton+either way,chris stapleton,either way,1
little big town+better man,little big town,better man,0
chris stapleton+broken halos,chris stapleton,broken halos,0
jason isbell and the 400 unit+if we were vampires,jason isbell and the 400 unit,if we were vampires,1
auli'i cravalho+how far i'll go,auli'i cravalho,how far i'll go,1
adele+hello,adele,hello,2
twenty one pilots+stressed out,twenty one pilots,stressed out,0
david bowie+blackstar,david bowie,blackstar,2
megadeth+dystopia,megadeth,dystopia,1
solange+cranes in the sky,solange,cranes in the sky,1
lalah hathaway+angel,lalah hathaway,angel,1
maxwell+lake by the ocean,maxwell,lake by the ocean,3
drake+hotline bling,drake,hotline bling,1
maren morris+my church,maren morris,my church,1
tim mcgraw+humble and kind,tim mcgraw,humble and kind,1
"hillary scott & the scott family; bernie herms, hillary scott & emily weisband, songwriters+thy will","hillary scott & the scott family; bernie herms, hillary scott & emily weisband, songwriters",thy will,0
sarah jarosz+house of mercy,sarah jarosz,house of mercy,1
ed sheeran+thinking out loud,ed sheeran,thinking out loud,1
alabama shakes+don't wanna fight,alabama shakes,don't wanna fight,1
lalah hathaway+little ghetto boy,lalah hathaway,little ghetto boy,0
kendrick lamar+alright,kendrick lamar,alright,2
chris stapleton+traveller,chris stapleton,traveller,1
little big town+girl crush,little big town,girl crush,1
mavis staples+see that my grave is kept clean,mavis staples,see that my grave is kept clean,1
sam smith+stay with me (darkchild version),sam smith,stay with me (darkchild version),3
pharrell williams+happy (live),pharrell williams,happy (live),1
paramore+ain't it fun,paramore,ain't it fun,3
kendrick lamar+i,kendrick lamar,i,3
glen campbell+i'm not gonna miss you,glen campbell,i'm not gonna miss you,0
smokie norful+no greater love,smokie norful,no greater love,3
idina menzel+let it go,idina menzel,let it go,1
lorde+royals,lorde,royals,1
imagine dragons+radioactive,imagine dragons,radioactive,2
black sabbath+god is dead?,black sabbath,god is dead?,3
gary clark jr+please come home,gary clark jr,please come home,1
darius rucker+wagon wheel,darius rucker,wagon wheel,2
adele+set fire to the rain [live],adele,set fire to the rain [live],3
the black keys+lonely boy,the black keys,lonely boy,1
usher+climax,usher,climax,1
beyoncé+love on top,beyoncé,love on top,3
miguel+adorn,miguel,adorn,1
carrie underwood+blown away,carrie underwood,blown away,4
little big town+pontoon,little big town,pontoon,1
adele+rolling in the deep,adele,rolling in the deep,1
adele+someone like you,adele,someone like you,0
skrillex+scary monsters and nice sprites,skrillex,scary monsters and nice sprites,2
foo fighters+walk,foo fighters,walk,0
corinne bailey rae+is this love,corinne bailey rae,is this love,3
taylor swift+mean,taylor swift,mean,1
lady antebellum+need you now,lady antebellum,need you now,1
lady gaga+bad romance,lady gaga,bad romance,3
bruno mars+just the way you are,bruno mars,just the way you are,1
"train+hey, soul sister (live)",train,"hey, soul sister (live)",3
rihanna+only girl (in the world),rihanna,only girl (in the world),1
them crooked vultures+new fang,them crooked vultures,new fang,0
iron maiden+el dorado,iron maiden,el dorado,0
neil young+angry world,neil young,angry world,0
fantasia+bittersweet,fantasia,bittersweet,3
usher+there goes my baby,usher,there goes my baby,1
sade+soldier of love,sade,soldier of love,1
cee lo green+fuck you,cee lo green,fuck you,1
john legend & the roots+shine,john legend & the roots,shine,1
eminem+not afraid,eminem,not afraid,0
miranda lambert+the house that built me,miranda lambert,the house that built me,1
keith urban+'til summer comes around,keith urban,'til summer comes around,1
kings of leon+use somebody,kings of leon,use somebody,1
beyoncé+single ladies (put a ring on it),beyoncé,single ladies (put a ring on it),3
beyoncé+halo,beyoncé,halo,1
jason mraz+make it mine,jason mraz,make it mine,2
