id,artist,song,lyrics_bow
kanye west+niggas in paris,kanye west,niggas in paris,"['jay', 'ball', 'hard', 'muhfuckas', 'wanna', 'fine', 'first', 'niggas', 'gotta', 'find', 'whats', 'grand', 'muhfucka', 'like', 'please', 'remind', 'ball', 'hard', 'shit', 'crazy', 'yall', 'dont', 'know', 'dont', 'shit', 'phase', 'nets', 'could', 'look', 'like', 'shit', 'gravy', 'ball', 'hard', 'shit', 'weird', 'aint', 'even', 'spose', 'ball', 'hard', 'since', 'right', 'fair', 'psycho', 'liable', 'michael', 'take', 'pick', 'jackson', 'tyson', 'jordan', 'game', 'ball', 'hard', 'got', 'broke', 'clock', 'rolleys', 'dont', 'tick', 'tok', 'audemars', 'thats', 'losing', 'time', 'hidden', 'behind', 'big', 'rocks', 'ball', 'hard', 'shocked', 'supposed', 'locked', 'escaped', 'ive', 'escaped', 'youd', 'paris', 'getting', 'fucked', 'ball', 'hard', 'lets', 'get', 'faded', 'meurice', 'like', 'days', 'gold', 'bottles', 'scold', 'models', 'spillin', 'ace', 'sick', 'bitch', 'behave', 'might', 'let', 'meet', 'chi', 'towns', 'rose', 'movin', 'nets', 'hook', 'ball', 'hard', 'muhfuckas', 'wanna', 'fine', 'shit', 'crazy', 'kanye', 'west', 'said', 'get', 'married', 'mall', 'said', 'look', 'need', 'crawl', 'fore', 'ball', 'come', 'meet', 'bathroom', 'stall', 'show', 'deserve', 'shit', 'crazy', 'aint', 'jay', 'order', 'fish', 'filet', 'whip', 'cold', 'old', 'thing', 'act', 'like', 'youll', 'ever', 'around', 'muhfuckas', 'like', 'bougie', 'girl', 'grab', 'hand', 'fuck', 'girl', 'dont', 'wanna', 'dance', 'excuse', 'french', 'france', 'sayin', 'prince', 'williams', 'aint', 'right', 'ask', 'cause', 'would', 'married', 'kate', 'ashley', 'whats', 'gucci', 'nigga', 'whats', 'louie', 'killa', 'whats', 'drugs', 'deala', 'whats', 'jacket', 'margiela', 'doctors', 'say', 'illest', 'cause', 'suffering', 'realness', 'got', 'niggas', 'paris', 'going', 'gorillas', 'huh', 'jay', 'ball', 'hard', 'muhfuckas', 'wanna', 'fine', 'ball', 'hard', 'muhfuckas', 'wanna', 'fine', 'kanye', 'west', 'watching', 'throne', 'dont', 'let', 'get', 'zone', 'niggaas', 'lyin', 'actin', 'like', 'summer', 'aint', 'mine', 'jay', 'got', 'hot', 'bitch', 'home', 'kanye', 'west', 'know', 'many', 'hot', 'bitches', 'dont', 'let', 'zone', 'stars', 'building', 'hands', 'ceiling', 'know', 'bout', 'kill', 'know', 'got', 'feeling', 'watching', 'throne', 'dont', 'let', 'zone', 'jay', 'kanye', 'west', 'definitely', 'zone']"
kid cudi+sad people,kid cudi,sad people,"['yeah', 'dead', 'night', 'dreams', 'whatll', 'happen', 'burn', 'wrong', 'mean', 'things', 'cant', 'understand', 'say', 'somethings', 'wrong', 'know', 'alone', 'driving', 'full', 'moon', 'glows', 'search', 'truth', 'tryna', 'brand', 'new', 'yeah', 'try', 'wont', 'screams', 'fighting', 'bleed', 'blood', 'eye', 'ill', 'another', 'broken', 'soul', 'god', 'save', 'yeah', 'yeah', 'baby', 'see', 'back', 'zone', 'need', 'mama', 'yeah', 'nigga', 'hell', 'mission', 'gonna', 'fly', 'high', 'high', 'sad', 'pеople', 'keep', 'blunt', 'burning', 'journеy', 'learn', 'close', 'call', 'life', 'edge', 'ahh', 'time', 'comes', 'ill', 'find', 'peace', 'still', 'search', 'nights', 'sittin', 'wishin', 'find', 'love', 'lettin', 'ooh', 'aint', 'livin', 'swim', 'pain', 'never', 'drown', 'keep', 'head', 'waves', 'get', 'get', 'tired', 'runnin', 'wont', 'run', 'fate', 'late', 'night', 'ooh', 'come', 'alive', 'dreams', 'made', 'take', 'ooh', 'dont', 'leave', 'babe', 'come', 'woah', 'dont', 'say', 'goodnight', 'scars', 'heart', 'woah', 'ahh', 'ahh', 'ahh', 'yeah', 'yeah', 'baby', 'see', 'youre', 'back', 'zone', 'need', 'mama', 'yeah', 'nigga', 'hell', 'road', 'mission', 'gonna', 'fly', 'high', 'sad', 'people', 'keep', 'blunt', 'burning', 'journey', 'learn']"
kanye west+real friends,kanye west,real friends,"['real', 'friends', 'many', 'many', 'many', 'jealous', 'real', 'friends', 'many', 'smile', 'many', 'honest', 'trust', 'issues', 'switched', 'number', 'cant', 'bothered', 'cannot', 'blame', 'havin', 'angle', 'aint', 'got', 'issues', 'doin', 'thing', 'hope', 'youre', 'doin', 'thing', 'deadbeat', 'cousin', 'hate', 'family', 'reunions', 'fck', 'church', 'drinkin', 'communion', 'spillin', 'free', 'wine', 'tux', 'ruined', 'town', 'day', 'fuck', 'doin', 'real', 'friends', 'came', 'bottom', 'always', 'blamin', 'whats', 'sad', 'youre', 'problem', 'damn', 'forgot', 'call', 'shit', 'thought', 'thursday', 'wait', 'week', 'call', 'phone', 'first', 'place', 'last', 'time', 'remembered', 'birthday', 'last', 'time', 'wasnt', 'hurry', 'tell', 'want', 'tickets', 'gametime', 'even', 'call', 'daughter', 'facetime', 'even', 'young', 'used', 'make', 'time', 'way', 'busy', 'make', 'time', 'even', 'real', 'friends', 'guess', 'get', 'deserved', 'word', 'streets', 'aint', 'heard', 'guess', 'get', 'deserved', 'talked', 'name', 'throwed', 'dirt', 'couldnt', 'tell', 'old', 'daughter', 'couldnt', 'tell', 'old', 'son', 'got', 'way', 'dawg', 'plus', 'already', 'got', 'one', 'kid', 'couldnt', 'tell', 'much', 'fam', 'though', 'showed', 'yams', 'though', 'maybe', 'minutes', 'took', 'pictures', 'sister', 'merry', 'christmas', 'finished', 'back', 'business', 'wanna', 'ask', 'questions', 'bout', 'real', 'shit', 'like', 'aint', 'got', 'enough', 'pressure', 'deal', 'please', 'dont', 'pressure', 'bill', 'shit', 'cause', 'everybody', 'got', 'aint', 'children', 'youve', 'nothin', 'friend', 'niggas', 'thinkin', 'crazy', 'defendin', 'funny', 'aint', 'spoke', 'niggas', 'centuries', 'honest', 'dawg', 'aint', 'feelin', 'energy', 'money', 'turn', 'kin', 'enemy', 'niggas', 'aint', 'real', 'pretend', 'lookin', 'real', 'friends', 'many', 'many', 'real', 'friends', 'real', 'friends', 'real', 'end', 'til', 'wheels', 'fall', 'til', 'wheels', 'dont', 'spin', 'callin', 'many', 'real', 'friends', 'ask', 'question', 'see', 'feelin', 'many', 'last', 'frontin', 'hate', 'nigga', 'text', 'like', 'whats', 'fam', 'good', 'say', 'good', 'great', 'next', 'day', 'ask', 'somethin', 'many', 'whats', 'best', 'family', 'immediate', 'extended', 'argument', 'mediall', 'extend', 'cousin', 'stole', 'laptop', 'fuckin', 'bitches', 'paid', 'nigga', '250', 'thousand', 'get', 'real', 'friends', 'huh', 'real', 'friends', 'guess', 'get', 'deserved', 'word', 'streets', 'aint', 'heard', 'guess', 'get', 'deserved', 'talked', 'name', 'throwed', 'dirt']"
dj snake+loco contigo (feat. j. balvin & tyga),dj snake,loco contigo (feat. j. balvin & tyga),"['tienes', 'loco', 'loco', 'contigo', 'traté', 'trato', 'pero', 'baby', 'olvido', 'tienes', 'loco', 'loco', 'contigo', 'traté', 'trato', 'pero', 'baby', 'aquí', 'sigo', 'okay', 'okay', 'mami', 'ere', 'una', 'champion', 'ram', 'pam', 'pam', 'con', 'booty', 'fuera', 'lugar', 'una', 'cintura', 'chiquita', 'mata', 'cancha', 'estás', 'fuera', 'normal', 'bate', 'como', 'avena', 'abuela', 'hay', 'mucha', 'mujere', 'pero', 'gana', 'por', 'pela', 'enseñando', 'mucho', 'todo', 'por', 'fuera', 'diseñador', 'quiso', 'gastar', 'tela', 'mama', 'ere', 'fama', 'estás', 'conmigo', 'vas', 'mañana', 'cuando', 'mueves', 'todo', 'sana', 'eres', 'antídoto', 'cuando', 'tengo', 'ganas', 'mama', 'ere', 'fama', 'estás', 'conmigo', 'vas', 'mañana', 'cuando', 'mueves', 'todo', 'sana', 'eres', 'antídoto', 'cuando', 'tengo', 'ganas', 'tienes', 'loco', 'loco', 'contigo', 'traté', 'trato', 'pero', 'baby', 'olvido', 'tienes', 'loco', 'loco', 'contigo', 'traté', 'trato', 'pero', 'baby', 'aquí', 'sigo', 'wanna', 'make', 'hot', 'body', 'top', 'kiss', 'wanna', 'lip', 'lock', 'party', 'wont', 'stop', 'oclock', 'iced', 'watch', 'get', 'one', 'tell', 'best', 'friends', 'want', 'girls', 'wanna', 'fun', 'run', 'move', 'move', 'body', 'know', 'want', 'one', 'two', 'baby', 'want', 'cute', 'face', 'little', 'waist', 'yeah', 'bass', 'bass', 'ass', 'need', 'seat', 'seat', 'sit', 'thats', 'old', 'girl', 'yeah', 'antique', 'got', 'new', 'body', 'art', 'piece', 'like', 'sauce', 'saucy', 'caliente', 'muy', 'caliente', 'caliente', 'muy', 'caliente', 'tienes', 'loco', 'loco', 'contigo', 'traté', 'trato', 'pero', 'baby', 'olvido', 'tienes', 'loco', 'loco', 'contigo', 'traté', 'trato', 'pero', 'baby', 'aquí', 'sigo', 'pide', 'que', 'quieras', 'que', 'quieras', 'que', 'quieras', 'que', 'hago', 'manera', 'manera', 'manera', 'dale', 'mueve', 'cadera', 'como', 'hacías', 'elena', 'tienes', 'atadura', 'vamo', 'rompe', 'cadena']"
anuel aa+china,anuel aa,china,"['honey', 'came', 'caught', 'red', 'handed', 'creeping', 'girl', 'next', 'door', 'mujer', 'estaba', 'llamando', 'woh', 'dirili', 'daddy', 'contigo', 'perreando', 'ozuna', 'fuimo', 'mujer', 'estaba', 'llamando', 'pero', 'contesté', 'uah', 'baby', 'sube', 'porque', 'estaba', 'contigo', 'perreando', 'ella', 'olvidé', 'mami', 'dios', 'mío', 'perdóname', 'por', 'qué', 'fallé', 'fallé', 'uah', 'estaba', 'disco', 'perreando', 'con', 'ella', 'enredé', 'woh', 'fuego', 'uah', 'estaba', 'disco', 'perreando', 'hah', 'prr', 'estaba', 'disco', 'perreando', 'uah', 'estaba', 'disco', 'perreando', 'uah', 'uah', 'estaba', 'disco', 'perreando', 'forma', 'que', 'miraba', 'woh', 'podía', 'notar', 'que', 'ella', 'tenía', 'que', 'disco', 'buscaba', 'bailaba', 'quería', 'que', 'bailara', 'woh', 'que', 'música', 'nunca', 'bajara', 'está', 'prendía', 'fuego', 'fuego', 'que', 'enamora', 'ella', 'está', 'pal', 'juego', 'pal', 'juego', 'anda', 'sola', 'nunca', 'baja', 'ego', 'ego', 'provoca', 'facilito', 'pego', 'pego', 'que', 'está', 'prendía', 'fuego', 'fuego', 'que', 'enamora', 'ella', 'esta', 'pal', 'juego', 'pal', 'juego', 'anda', 'sola', 'nunca', 'baja', 'ego', 'ego', 'provoca', 'facilito', 'pego', 'que', 'jaja', 'tengo', 'problema', 'alcohol', 'por', 'qué', 'soy', 'así', 'así', 'así', 'que', 'doctor', 'estaba', 'bebiendo', 'día', 'que', 'nací', 'mami', 'mami', 'baby', 'pon', 'mano', 'suelo', 'suelo', 'juégate', 'con', 'pelo', 'pelo', 'cuerpo', 'puro', 'veneno', 'veneno', 'bebé', 'lleva', 'cielo', 'baby', 'duro', 'dejaste', 'caer', 'pero', 'ella', 'levantó', 'uah', 'déjame', 'poca', 'mujer', 'pero', 'ella', 'levantó', 'emborraché', 'olvidé', 'pelea', 'una', 'otra', 'baby', 'cansé', 'fuego', 'rumba', 'mujer', 'estaba', 'llamando', 'pero', 'contesté', 'uah', 'baby', 'sube', 'porque', 'estaba', 'contigo', 'perreando', 'ella', 'olvidé', 'mami', 'dios', 'mío', 'perdóname', 'por', 'qué', 'fallé', 'fallé', 'estaba', 'disco', 'perreando', 'con', 'ella', 'enredé', 'woh', 'fuego', 'uah', 'estaba', 'disco', 'perreando', 'prr', 'estaba', 'disco', 'perreando', 'estaba', 'disco', 'perreando', 'uah', 'uah', 'estaba', 'disco', 'perreando', 'ddy', 'yan', 'kee', 'ganaste', 'metiste', 'juego', 'dañaste', 'ticket', 'semanal', 'puede', 'ser', 'que', 'gaste', 'creo', 'bichote', 'tirando', 'peso', 'por', 'tar', 'ricota', 'doy', 'pata', 'queso', 'sino', 'peleemos', 'nunca', 'regreso', 'por', 'eso', 'rrr', 'quiero', 'casa', 'pero', 'dejas', 'ese', 'culo', 'una', 'amenaza', 'creo', 'que', 'ere', 'pareja', 'lets', 'shot', 'dos', 'shot', 'empezó', 'problema', 'porque', 'alcohol', 'metió', 'sistema', 'prr', 'quien', 'vaya', 'chotear', 'lleva', 'querella', 'eche', 'culpa', 'cúlpenla', 'ella', 'fuego', 'contigo', 'enredé', 'enredé', 'con', 'par', 'tragos', 'baby', 'solté', 'solté', 'quedé', 'contigo', 'contesté', 'por', 'qué', 'fallé', 'yeh', 'yeh', 'pero', 'que', 'rico', 'pasé', 'llegó', 'media', 'noche', 'noche', 'apena', 'empezaba', 'toque', 'toque', 'que', 'novio', 'esperaba', 'antes', 'que', 'fueran', 'las', 'doce', 'doce', 'qué', 'bien', 'pasamo', 'anoche', 'noche', 'que', 'fallé', 'que', 'perdone', 'vuelvo', 'ver', 'mañana', 'diré', 'que', 'conoce', 'balvin', 'man', 'estaba', 'disco', 'perreando', 'cuando', 'con', 'ella', 'envolví', 'wuh', 'wuh', 'mujer', 'estaba', 'llamando', 'tuve', 'que', 'darle', 'delete', 'auch', 'que', 'dejo', 'envolver', 'wuh', 'villana', 'hiciste', 'caer', 'ese', 'booty', 'que', 'hasta', 'ciego', 'puede', 'ver', 'hasta', 'más', 'santo', 'quiere', 'ser', 'infiel', 'leggo', 'yeh', 'yeh', 'cambiamos', 'escena', 'hasta', 'cartagena', 'ere', 'única', 'que', 'llena', 'cogió', 'pago', 'condena', 'nena', 'cambiamos', 'escena', 'hasta', 'cartagena', 'come', 'come', 'ere', 'única', 'que', 'llena', 'leggo', 'cogió', 'pago', 'condena', 'yeh', 'fuimo', 'mujer', 'estaba', 'llamando', 'pero', 'contesté', 'uah', 'baby', 'sube', 'porque', 'estaba', 'contigo', 'perreando', 'ella', 'olvidé', 'mami', 'dios', 'mío', 'perdóname', 'por', 'qué', 'falle', 'fallé', 'uah', 'estaba', 'disco', 'perreando', 'con', 'ella', 'enredé', 'woh', 'fuego', 'uah', 'bebecita', 'bebecita', 'estaba', 'disco', 'perreando', 'hah', 'prr', 'estaba', 'disco', 'perreando', 'uah', 'estaba', 'disco', 'perreando', 'estaba', 'disco', 'perreando']"
ariana grande+boyfriend (with social house),ariana grande,boyfriend (with social house),"['motherfuckin', 'train', 'wreck', 'dont', 'wanna', 'much', 'dont', 'wanna', 'miss', 'touch', 'dont', 'seem', 'give', 'fuck', 'dont', 'wanna', 'keep', 'waiting', 'might', 'one', 'aint', 'boo', 'cause', 'know', 'complicated', 'smitten', 'crazy', 'cant', 'want', 'neither', 'aint', 'boyfriend', 'boyfriend', 'aint', 'girlfriend', 'girlfriend', 'dont', 'want', 'see', 'nobody', 'else', 'dont', 'want', 'see', 'nobody', 'aint', 'boyfriend', 'boyfriend', 'aint', 'girlfriend', 'girlfriend', 'dont', 'want', 'touch', 'nobody', 'else', 'baby', 'aint', 'gotta', 'tell', 'nobody', 'even', 'though', 'aint', 'mine', 'promise', 'way', 'fight', 'make', 'honestly', 'feel', 'like', 'love', 'cause', 'baby', 'push', 'comes', 'shove', 'damn', 'baby', 'train', 'wreck', 'lose', 'mind', 'comes', 'take', 'time', 'ones', 'choose', 'dont', 'want', 'smile', 'aint', 'yeah', 'know', 'complicated', 'lovin', 'sometimes', 'drive', 'crazy', 'cause', 'cant', 'want', 'neither', 'aint', 'boyfriend', 'boyfriend', 'aint', 'girlfriend', 'girlfriend', 'dont', 'want', 'see', 'nobody', 'else', 'dont', 'want', 'see', 'nobody', 'aint', 'boyfriend', 'boyfriend', 'aint', 'girlfriend', 'girlfriend', 'dont', 'want', 'touch', 'nobody', 'else', 'baby', 'aint', 'gotta', 'tell', 'nobody', 'wanna', 'kiss', 'yeah', 'dont', 'wanna', 'miss', 'yeah', 'cant', 'cause', 'got', 'issues', 'yeah', 'surface', 'seem', 'like', 'easy', 'careful', 'words', 'still', 'hard', 'read', 'stress', 'high', 'trust', 'low', 'mmm', 'bad', 'vibes', 'whered', 'fun', 'try', 'open', 'love', 'love', 'try', 'open', 'love', 'boyfriend', 'girlfriend', 'probably', 'wouldnt', 'see', 'nobody', 'else', 'cant', 'guarantee', 'aint', 'boyfriend', 'boyfriend', 'aint', 'boyfriend', 'aint', 'girlfriend', 'girlfriend', 'aint', 'girlfriend', 'dont', 'want', 'see', 'nobody', 'else', 'nobody', 'dont', 'want', 'see', 'nobody', 'aint', 'boyfriend', 'boyfriend', 'know', 'aint', 'boyfriend', 'aint', 'girlfriend', 'girlfriend', 'yeah', 'mmm', 'dont', 'want', 'touch', 'nobody', 'else', 'nobody', 'baby', 'aint', 'gotta', 'tell', 'nobody', 'yeah', 'aint', 'boyfriend', 'boyfriend', 'aint', 'girlfriend', 'girlfriend', 'dont', 'want', 'see', 'nobody', 'else', 'dont', 'want', 'see', 'nobody', 'aint', 'boyfriend', 'boyfriend', 'aint', 'girlfriend', 'girlfriend', 'yeah', 'dont', 'want', 'touch', 'nobody', 'else', 'nobody', 'baby', 'aint', 'gotta', 'tell', 'nobody']"
ed sheeran+beautiful people (feat. khalid),ed sheeran,beautiful people (feat. khalid),"['saturday', 'night', 'summer', 'sundown', 'come', 'lamborginis', 'rented', 'hummers', 'partys', 'theyre', 'headin', 'downtown', 'everybodys', 'lookin', 'come', 'wanna', 'know', 'youre', 'middle', 'one', 'lovin', 'tryna', 'figure', 'everything', 'dont', 'fit', 'well', 'cause', 'could', 'use', 'help', 'gettin', 'conversation', 'yeah', 'look', 'stunning', 'dear', 'dont', 'ask', 'question', 'fear', 'become', 'beautiful', 'people', 'drop', 'top', 'designer', 'clothes', 'front', 'row', 'fashion', 'shows', 'dyou', 'dyou', 'know', 'inside', 'world', 'beautiful', 'people', 'champagne', 'rolled', 'notes', 'prenups', 'broken', 'homes', 'surrounded', 'still', 'alone', 'lets', 'leave', 'party', 'thats', 'beautiful', 'yeah', 'thats', 'beautiful', 'beautiful', 'mmm', 'drove', 'hours', 'last', 'night', 'made', 'nowhere', 'see', 'stars', 'eyes', 'halfway', 'night', 'fazed', 'lights', 'flashin', 'cameras', 'cause', 'arms', 'around', 'theres', 'need', 'care', 'dont', 'fit', 'well', 'could', 'use', 'help', 'gettin', 'conversation', 'yeah', 'look', 'stunning', 'dear', 'dont', 'ask', 'question', 'fear', 'become', 'beautiful', 'people', 'drop', 'top', 'designer', 'clothes', 'front', 'row', 'fashion', 'shows', 'dyou', 'dyou', 'know', 'inside', 'world', 'beautiful', 'people', 'champagne', 'rolled', 'notes', 'prenups', 'broken', 'homes', 'surrounded', 'still', 'alone', 'lets', 'leave', 'party', 'thats', 'beautiful', 'yeah', 'yeah', 'thats', 'beautiful', 'beautiful', 'beautiful']"
post malone+goodbyes (feat. young thug),post malone,goodbyes (feat. young thug),"['kurt', 'feel', 'much', 'pleasure', 'pain', 'girl', 'spites', 'vain', 'complain', 'needs', 'something', 'change', 'need', 'take', 'edge', 'fck', 'tonight', 'dont', 'tell', 'shut', 'know', 'talk', 'much', 'dont', 'got', 'shit', 'say', 'say', 'want', 'head', 'want', 'bedroom', 'tonight', 'bedroom', 'theres', 'way', 'could', 'save', 'save', 'cause', 'need', 'saved', 'good', 'goodbyes', 'actin', 'insane', 'stubborn', 'change', 'drinkin', 'proof', 'veins', 'fingertips', 'stained', 'looking', 'edge', 'dont', 'fck', 'tonight', 'say', 'needed', 'heart', 'got', 'got', 'turns', 'wasnt', 'wanted', 'wanted', 'wouldnt', 'let', 'lost', 'goner', 'want', 'head', 'head', 'want', 'bedroom', 'tonight', 'bedroom', 'theres', 'way', 'could', 'save', 'save', 'cause', 'need', 'saved', 'saved', 'good', 'goodbyes', 'want', 'right', 'life', 'want', 'back', 'tonight', 'tryna', 'cut', 'knife', 'wanna', 'slice', 'dice', 'argue', 'possessive', 'aint', 'got', 'precise', 'turn', 'watchin', 'fight', 'flight', 'garage', 'blue', 'diamond', 'shock', 'poppin', 'like', 'dove', 'nigga', 'bein', 'honest', 'dont', 'need', 'key', 'drive', 'car', 'charger', 'wanna', 'see', 'side', 'one', 'thats', 'unbothered', 'yeah', 'dont', 'watch', 'never', 'outside', 'side', 'promise', 'play', 'nggas', 'slidin', 'slidin', 'fckin', 'still', 'ridin', 'ride', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'want', 'head', 'head', 'want', 'bedroom', 'tonight', 'bedroom', 'theres', 'way', 'could', 'save', 'save', 'cause', 'need', 'saved', 'saved', 'good', 'goodbyes', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'good', 'goodbyes', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'goodbye', 'good', 'goodbyes']"
ed sheeran+i don't care (with justin bieber),ed sheeran,i don't care (with justin bieber),"['party', 'dont', 'wanna', 'dont', 'ever', 'wear', 'suit', 'tie', 'yeah', 'wonderin', 'could', 'sneak', 'back', 'nobodys', 'even', 'lookin', 'eyes', 'take', 'hand', 'finish', 'drink', 'say', 'shall', 'dance', 'hell', 'yeah', 'know', 'love', 'ever', 'tell', 'make', 'better', 'like', 'dont', 'think', 'fit', 'party', 'everyones', 'got', 'much', 'say', 'yeah', 'always', 'feel', 'like', 'nobody', 'mmm', 'wants', 'fit', 'anyway', 'cause', 'dont', 'care', 'baby', 'yeah', 'bad', 'things', 'disappear', 'youre', 'making', 'feel', 'like', 'maybe', 'somebody', 'deal', 'bad', 'nights', 'baby', 'yeah', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'cause', 'dont', 'care', 'long', 'hold', 'near', 'take', 'anywhere', 'youre', 'making', 'feel', 'like', 'loved', 'somebody', 'deal', 'bad', 'nights', 'baby', 'yeah', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'party', 'dont', 'wanna', 'tryna', 'talk', 'cant', 'hear', 'press', 'lips', 'rather', 'kiss', 'right', 'back', 'people', 'around', 'crippled', 'anxiety', 'told', 'sposed', 'know', 'kinda', 'crazy', 'cause', 'really', 'dont', 'mind', 'make', 'better', 'like', 'dont', 'think', 'fit', 'party', 'everyones', 'got', 'much', 'say', 'yeah', 'yeah', 'walked', 'said', 'sorry', 'mmm', 'think', 'stay', 'cause', 'dont', 'care', 'baby', 'yeah', 'bad', 'things', 'disappear', 'yeah', 'youre', 'making', 'feel', 'like', 'maybe', 'somebody', 'deal', 'bad', 'nights', 'baby', 'yeah', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'yeah', 'yeah', 'yeah', 'cause', 'dont', 'care', 'long', 'hold', 'near', 'take', 'anywhere', 'youre', 'making', 'feel', 'like', 'loved', 'somebody', 'deal', 'bad', 'nights', 'baby', 'yeah', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'dont', 'like', 'nobody', 'like', 'youre', 'one', 'dont', 'like', 'nobody', 'baby', 'dont', 'care', 'dont', 'like', 'nobody', 'hate', 'everyone', 'dont', 'like', 'nobody', 'baby', 'yeah', 'cause', 'dont', 'care', 'dont', 'care', 'baby', 'yeah', 'yeah', 'bad', 'things', 'disappear', 'disappear', 'youre', 'making', 'feel', 'like', 'maybe', 'somebody', 'maybe', 'somebody', 'deal', 'bad', 'nights', 'bad', 'nights', 'baby', 'yeah', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'yeah', 'yeah', 'yeah', 'cause', 'dont', 'care', 'long', 'hold', 'near', 'near', 'take', 'anywhere', 'anywhere', 'anywhere', 'youre', 'making', 'feel', 'like', 'loved', 'somebody', 'loved', 'somebody', 'yeah', 'yeah', 'yeah', 'deal', 'bad', 'nights', 'baby', 'yeah', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh']"
lil tecca+ransom,lil tecca,ransom,"['turn', 'dancer', 'yeah', 'internet', 'money', 'bitch', 'got', 'black', 'got', 'white', 'whatchu', 'want', 'hop', 'outside', 'ghost', 'hop', 'phantom', 'know', 'boutta', 'blow', 'woah', 'aint', 'dumb', 'try', 'take', 'flow', 'take', 'ass', 'ransom', 'know', 'gone', 'see', 'blowing', 'say', 'want', 'song', 'got', 'two', 'twin', 'glocks', 'turn', 'dancer', 'see', 'two', 'twin', 'opps', 'leave', 'banner', 'got', 'two', 'thick', 'thots', 'wanna', 'lick', 'gang', 'yeah', 'got', 'red', 'got', 'blue', 'want', 'shit', 'balenciaga', 'louis', 'vuitton', 'know', 'got', 'fendi', 'prada', 'alone', 'needed', 'dire', 'outta', 'alley', 'want', 'started', 'bottom', 'could', 'see', 'way', 'stunt', 'want', 'diamonds', 'want', 'shit', 'weigh', 'ton', 'opps', 'tryna', 'law', 'cause', 'hate', 'place', 'niggas', 'dont', 'know', 'know', 'place', 'got', 'lots', 'shawties', 'tryna', 'pull', 'place', 'aint', 'want', 'last', 'year', 'get', 'face', 'inbox', 'know', 'want', 'taste', 'know', 'want', 'downfall', 'nigga', 'laced', 'got', 'black', 'got', 'white', 'whatchu', 'want', 'hop', 'outside', 'ghost', 'hop', 'phantom', 'know', 'boutta', 'boutta', 'blow', 'woah', 'dumb', 'try', 'take', 'flow', 'take', 'ass', 'ransom', 'know', 'gone', 'see', 'blowing', 'say', 'want', 'song', 'got', 'two', 'twin', 'glocks', 'turn', 'dancer', 'see', 'two', 'twin', 'opps', 'leave', 'banner', 'got', 'two', 'thick', 'thots', 'wanna', 'lick', 'gang', 'yeah', 'got', 'black', 'got', 'white', 'whatchu', 'want', 'hop', 'outside', 'ghost', 'hop', 'phantom', 'know', 'boutta', 'boutta', 'blow', 'woah', 'aint', 'dumb', 'try', 'take', 'flow', 'take', 'ass', 'ransom', 'know', 'gone', 'see', 'blowing', 'say', 'want', 'song', 'got', 'two', 'twin', 'glocks', 'turn', 'dancer', 'see', 'two', 'twin', 'opps', 'leave', 'banner', 'got', 'two', 'thick', 'thots', 'wanna', 'lick', 'gang', 'yeah']"
