"","X","GrammyAward","GrammyYear","Genre","Name","Artist"
"223",222,"Best R&B Performance By A Duo Or Group With Vocals",2008,"R&B","Stay with Me (by the Sea)","John Legend"
"224",223,"Best Urban/Alternative Performance",2008,"R&B","Be Ok","Willi.am"
"225",224,"Best R&B Song",2008,"R&B","Miss Independent","Ne-Yo"
"226",225,"Best Rap Solo Performance",2008,"Rap","a Milli","Lil Wayne"
"227",226,"Best Rap Performance By A Duo Or Group",2008,"Rap","Swagga Like Us","Jay-z & Ti. Featuring Kanye West & Lil Wayne"
"228",227,"Best Rap Song",2008,"Rap","Lollipop","Lil Wayne Featuring Static Major"
"229",228,"Best Female Country Vocal Performance",2008,"Country","Last Name","Carrie Underwood"
"230",229,"Best Male Country Vocal Performance",2008,"Country","Letter to Me","Brad Paisley"
"231",230,"Best Country Song",2008,"Country","Stay","Sugarland"
"232",231,"Record Of The Year",2007,"General","Rehab","Amy Winehouse"
"233",232,"Song Of The Year",2007,"General","Rehab","Amy Winehouse"
"234",233,"Best Female Pop Vocal Performance",2007,"Pop","Rehab","Amy Winehouse"
"235",234,"Best Male Pop Vocal Performance",2007,"Pop","What Goes Around...comes Around","Justin Timberlake"
"236",235,"Best Pop Performance By A Duo Or Group With Vocals",2007,"Pop","Makes Me Wonder","Maroon 5"
"237",236,"Best Pop Collaboration With Vocals",2007,"Pop","Gone Gone Gone (Done Moved on)","Alison Krauss"
"238",237,"Best Dance Recording",2007,"Dance/Electronic Music","Lovestoned/i Think She Knows","Justin Timberlake"
"239",238,"Best Hard Rock Performance",2007,"Rock","The Pretender","Foo Fighters"
"240",239,"Best Metal Performance",2007,"Rock","Final Six","Slayer"
"241",240,"Best Rock Song",2007,"Rock","Radio Nowhere","Bruce Springsteen"
"242",241,"Best Female R&B Vocal Performance",2007,"R&B","No One","Alicia Keys"
"243",242,"Best Male R&B Vocal Performance",2007,"R&B","Future Baby Mama","Prince"
"244",243,"Best R&B Performance By A Duo Or Group With Vocals",2007,"R&B","Disrespectful","Mary j Blige"
